institution_name,grad_rate,basic,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,flagship_binary,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow
University of California at Santa Barbara,0.267,Research Universities--very high research activity,19362,70536,0.985,19593,1212,15852,5527,0.67,0.38,0.919,0.8,0,389852472,460.56,1113.828,19212624,87614004
University of California at Santa Cruz,0.249,Research Universities--very high research activity,15695,66676,0.976,16216,1087,17299,3473,0.5,0.446,0.888,0.689,0,231565748,484.802,965.256,18804013,60079427
California Maritime Academy,0.147,Baccalaureate Colleges--Diverse Fields,1045,183782,0.965,1209,1080,9009,4413,0.42,0.376,0.821,0.663,0,811029966,406.08,886.68,9729720,39756717
Humboldt State University,0.197,Masters Colleges and Universities--medium programs,7767,77258,0.934,7081,1008,8748,3387,0.1,0.516,0.776,0.541,0,261672846,520.128,782.208,8817984,29629476
San Diego State University,0.256,Research Universities--high research activity,27099,47319,0.887,24201,1090,9645,5770,0.32,0.396,0.878,0.541,0,273030630,431.64,957.02,10513050,55651650
San Francisco State University,0.27,Masters Colleges and Universities--larger programs,26156,41281,0.845,22077,998,8842,1675,0.12,0.424,0.821,0.497,0,69145675,423.152,819.358,8824316,14810350
San Jose State University,0.25,Masters Colleges and Universities--larger programs,25862,44897,0.806,20414,1030,8622,4276,0.07,0.395,0.878,0.402,0,191979572,406.85,904.34,8880660,36867672
Sonoma State University,0.237,Masters Colleges and Universities--larger programs,8391,57842,0.915,7449,1006,8710,4095,0.25,0.297,0.84,0.486,0,236862990,298.782,845.04,8762260,35667450
Adams State College,0.204,Masters Colleges and Universities--medium programs,2284,57047,0.82,2115,939,11356,233,0.11,0.503,0.559,0.5,0,13291951,472.317,524.901,10663284,2645948
University of Colorado at Denver,0.206,Research Universities--high research activity,13010,115000,0.598,9926,1073,6095,NA,0.16,0.278,0.752,0.835,0,NA,298.294,806.896,6539935,NA
University of Colorado at Colorado Springs,0.193,Masters Colleges and Universities--larger programs,9220,54914,0.755,7506,1068,5176,NA,0.26,0.322,0.714,0.529,0,NA,343.896,762.552,5527968,NA
Colorado Mountain College,0.16,Associates--Public Rural-serving Large,5893,52626,0.338,3463,NA,3357,2325,NA,0.234,NA,0.178,0,122355450,NA,NA,NA,7805025
Colorado School of Mines,0.174,Research Universities--high research activity,4291,91333,0.951,4410,1298,8507,41918,0.41,0.175,0.919,0.684,0,3828496694,227.15,1192.862,11042086,356596426
Colorado State University,0.214,Research Universities--very high research activity,23548,60828,0.866,21413,1127,7616,10399,0.37,0.257,0.859,0.683,0,632550372,289.639,968.093,8583232,79198784
Fort Lewis College,0.182,Baccalaureate Colleges--Arts & Sciences,3984,71505,0.921,3631,1049,11048,1710,0.17,0.318,0.65,0.722,0,122273550,333.582,681.85,11589352,18892080
Mesa State College,0.141,Baccalaureate Colleges--Arts & Sciences,9576,56882,0.759,7618,972,2685,2499,0.13,0.402,0.653,0.45,0,142148118,390.744,634.716,2609820,6709815
Metropolitan State College of Denver,0.17,Baccalaureate Colleges--Diverse Fields,22289,44603,0.592,16926,973,4290,73,0.05,0.385,0.658,0.378,0,3256019,374.605,640.234,4174170,313170
University of Northern Colorado,0.201,Doctoral/Research Universities,9947,53825,0.878,9548,1029,6176,6428,0.26,0.351,0.663,0.66,0,345987100,361.179,682.227,6355104,39699328
Colorado State University at Pueblo,0.167,Masters Colleges and Universities--smaller programs,5207,56716,0.719,4454,967,5895,2072,0.18,0.413,0.626,0.468,0,117515552,399.371,605.342,5700465,12214440
